Experiment	Sweep	
Date	30.09.2022 15:44:59	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -138. xyz default, #2	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
98.3500E+0	-138.000E+0	54.3633E-9	39.7567E+3	98.3500E+0	65.3138E-9
98.4000E+0	-138.000E+0	54.3940E-9	40.1267E+3	98.4000E+0	65.3463E-9
98.4500E+0	-138.000E+0	54.3429E-9	41.3467E+3	98.4500E+0	65.2861E-9
98.5000E+0	-138.000E+0	54.2172E-9	39.3967E+3	98.5000E+0	65.1334E-9
98.5500E+0	-138.000E+0	54.2896E-9	40.6467E+3	98.5500E+0	65.2221E-9
98.6000E+0	-138.000E+0	54.1906E-9	38.6867E+3	98.6000E+0	65.1022E-9
98.6500E+0	-138.000E+0	54.2753E-9	39.9667E+3	98.6500E+0	65.2061E-9
98.7000E+0	-138.000E+0	54.2035E-9	40.9367E+3	98.7000E+0	65.1155E-9
98.7500E+0	-138.000E+0	54.3594E-9	41.7833E+3	98.7500E+0	65.3086E-9
98.8000E+0	-138.000E+0	54.2736E-9	39.6133E+3	98.8000E+0	65.2021E-9
98.8500E+0	-138.000E+0	54.2397E-9	41.8200E+3	98.8500E+0	65.1648E-9
98.9000E+0	-138.000E+0	54.3099E-9	44.3200E+3	98.9000E+0	65.2500E-9
98.9500E+0	-138.000E+0	54.2744E-9	43.6033E+3	98.9500E+0	65.2055E-9
99.0000E+0	-138.000E+0	54.3133E-9	42.8333E+3	99.0000E+0	65.2470E-9
99.0500E+0	-138.000E+0	54.3888E-9	43.6733E+3	99.0500E+0	65.3432E-9
99.1000E+0	-138.000E+0	54.2778E-9	45.6667E+3	99.1000E+0	65.2110E-9
99.1500E+0	-138.000E+0	54.4315E-9	44.2200E+3	99.1500E+0	65.3940E-9
99.2000E+0	-138.000E+0	54.2947E-9	44.8600E+3	99.2000E+0	65.2288E-9
99.2500E+0	-138.000E+0	54.1521E-9	45.0267E+3	99.2500E+0	65.0533E-9
99.3000E+0	-138.000E+0	54.1994E-9	47.2167E+3	99.3000E+0	65.1090E-9
99.3500E+0	-138.000E+0	54.2043E-9	46.0333E+3	99.3500E+0	65.1168E-9
99.4000E+0	-138.000E+0	54.2017E-9	47.1167E+3	99.4000E+0	65.1136E-9
99.4500E+0	-138.000E+0	54.1704E-9	48.7967E+3	99.4500E+0	65.0796E-9
99.5000E+0	-138.000E+0	54.3138E-9	46.7367E+3	99.5000E+0	65.2548E-9
99.5500E+0	-138.000E+0	54.4395E-9	48.0900E+3	99.5500E+0	65.4066E-9
99.6000E+0	-138.000E+0	54.2680E-9	49.0167E+3	99.6000E+0	65.1937E-9
99.6500E+0	-138.000E+0	54.3174E-9	48.6033E+3	99.6500E+0	65.2550E-9
99.7000E+0	-138.000E+0	54.2671E-9	48.1133E+3	99.7000E+0	65.1933E-9
99.7500E+0	-138.000E+0	54.2218E-9	46.6033E+3	99.7500E+0	65.1389E-9
