Experiment	Sweep	
Date	30.09.2022 14:45:33	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -134. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
95.2000E+0	-134.000E+0	33.9557E-9	20.7700E+3	95.2000E+0	40.7265E-9
95.2500E+0	-134.000E+0	33.9630E-9	22.6600E+3	95.2500E+0	40.7314E-9
95.3000E+0	-134.000E+0	33.9469E-9	22.1033E+3	95.3000E+0	40.7169E-9
95.3500E+0	-134.000E+0	33.9395E-9	22.3033E+3	95.3500E+0	40.7046E-9
95.4000E+0	-134.000E+0	33.8690E-9	21.5433E+3	95.4000E+0	40.6195E-9
95.4500E+0	-134.000E+0	33.8581E-9	22.6733E+3	95.4500E+0	40.6024E-9
95.5000E+0	-134.000E+0	33.8978E-9	22.0133E+3	95.5000E+0	40.6547E-9
95.5500E+0	-134.000E+0	33.9057E-9	23.1500E+3	95.5500E+0	40.6640E-9
95.6000E+0	-134.000E+0	33.8844E-9	22.4567E+3	95.6000E+0	40.6388E-9
95.6500E+0	-134.000E+0	33.8619E-9	23.5133E+3	95.6500E+0	40.6135E-9
95.7000E+0	-134.000E+0	33.8546E-9	23.4433E+3	95.7000E+0	40.6005E-9
95.7500E+0	-134.000E+0	33.8612E-9	22.1767E+3	95.7500E+0	40.6130E-9
95.8000E+0	-134.000E+0	33.8704E-9	24.3267E+3	95.8000E+0	40.6261E-9
95.8500E+0	-134.000E+0	33.8800E-9	23.9500E+3	95.8500E+0	40.6364E-9
95.9000E+0	-134.000E+0	33.8564E-9	25.3900E+3	95.9000E+0	40.6108E-9
95.9500E+0	-134.000E+0	33.8448E-9	24.9500E+3	95.9500E+0	40.5942E-9
96.0000E+0	-134.000E+0	33.8416E-9	26.1633E+3	96.0000E+0	40.5867E-9
96.0500E+0	-134.000E+0	33.8581E-9	25.5133E+3	96.0500E+0	40.6106E-9
96.1000E+0	-134.000E+0	33.8219E-9	25.3367E+3	96.1000E+0	40.5731E-9
96.1500E+0	-134.000E+0	33.8777E-9	26.2100E+3	96.1500E+0	40.6364E-9
96.2000E+0	-134.000E+0	33.8641E-9	27.3267E+3	96.2000E+0	40.6162E-9
96.2500E+0	-134.000E+0	33.8303E-9	26.5533E+3	96.2500E+0	40.5794E-9
96.3000E+0	-134.000E+0	33.8351E-9	24.4233E+3	96.3000E+0	40.5872E-9
96.3500E+0	-134.000E+0	33.8787E-9	24.9433E+3	96.3500E+0	40.6336E-9
96.4000E+0	-134.000E+0	33.8521E-9	26.4433E+3	96.4000E+0	40.6053E-9
96.4500E+0	-134.000E+0	33.8669E-9	25.2733E+3	96.4500E+0	40.6208E-9
96.5000E+0	-134.000E+0	33.8543E-9	27.8467E+3	96.5000E+0	40.6078E-9
96.5500E+0	-134.000E+0	33.8560E-9	25.3533E+3	96.5500E+0	40.6088E-9
96.6000E+0	-134.000E+0	33.9076E-9	27.3500E+3	96.6000E+0	40.6663E-9
96.6500E+0	-134.000E+0	33.9056E-9	26.8733E+3	96.6500E+0	40.6679E-9
96.7000E+0	-134.000E+0	33.8917E-9	26.1300E+3	96.7000E+0	40.6524E-9
96.7500E+0	-134.000E+0	33.8943E-9	25.4400E+3	96.7500E+0	40.6561E-9
96.8000E+0	-134.000E+0	33.9032E-9	28.3667E+3	96.8000E+0	40.6694E-9
96.8500E+0	-134.000E+0	33.8805E-9	27.9800E+3	96.8500E+0	40.6375E-9
96.9000E+0	-134.000E+0	33.9023E-9	29.2967E+3	96.9000E+0	40.6626E-9
96.9500E+0	-134.000E+0	33.8750E-9	27.4933E+3	96.9500E+0	40.6326E-9
97.0000E+0	-134.000E+0	33.8865E-9	27.8867E+3	97.0000E+0	40.6467E-9
97.0500E+0	-134.000E+0	33.8839E-9	28.7167E+3	97.0500E+0	40.6379E-9
97.1000E+0	-134.000E+0	33.8831E-9	29.5233E+3	97.1000E+0	40.6416E-9
97.1500E+0	-134.000E+0	33.8913E-9	28.9133E+3	97.1500E+0	40.6523E-9
97.2000E+0	-134.000E+0	33.8776E-9	28.4200E+3	97.2000E+0	40.6322E-9
97.2500E+0	-134.000E+0	33.8960E-9	28.2467E+3	97.2500E+0	40.6563E-9
97.3000E+0	-134.000E+0	33.9153E-9	31.4500E+3	97.3000E+0	40.6766E-9
97.3500E+0	-134.000E+0	33.9221E-9	28.3833E+3	97.3500E+0	40.6792E-9
97.4000E+0	-134.000E+0	33.9016E-9	30.5300E+3	97.4000E+0	40.6603E-9
97.4500E+0	-134.000E+0	33.9109E-9	30.2500E+3	97.4500E+0	40.6703E-9
97.5000E+0	-134.000E+0	33.8965E-9	30.7800E+3	97.5000E+0	40.6516E-9
97.5500E+0	-134.000E+0	33.8698E-9	30.7800E+3	97.5500E+0	40.6265E-9
97.6000E+0	-134.000E+0	33.8561E-9	30.2167E+3	97.6000E+0	40.6084E-9
97.6500E+0	-134.000E+0	33.8461E-9	30.2867E+3	97.6500E+0	40.5958E-9
97.7000E+0	-134.000E+0	33.8741E-9	30.6900E+3	97.7000E+0	40.6246E-9
97.7500E+0	-134.000E+0	33.8744E-9	30.6800E+3	97.7500E+0	40.6293E-9
97.8000E+0	-134.000E+0	33.8814E-9	31.1233E+3	97.8000E+0	40.6340E-9
97.8500E+0	-134.000E+0	33.8788E-9	30.8833E+3	97.8500E+0	40.6392E-9
97.9000E+0	-134.000E+0	33.8841E-9	30.5867E+3	97.9000E+0	40.6409E-9
97.9500E+0	-134.000E+0	33.8821E-9	30.9500E+3	97.9500E+0	40.6371E-9
98.0000E+0	-134.000E+0	33.8738E-9	31.5433E+3	98.0000E+0	40.6247E-9
98.0500E+0	-134.000E+0	33.8703E-9	31.8967E+3	98.0500E+0	40.6264E-9
98.1000E+0	-134.000E+0	33.8928E-9	30.8933E+3	98.1000E+0	40.6499E-9
98.1500E+0	-134.000E+0	33.8906E-9	30.8700E+3	98.1500E+0	40.6505E-9
98.2000E+0	-134.000E+0	33.8818E-9	30.4933E+3	98.2000E+0	40.6412E-9
98.2500E+0	-134.000E+0	33.9002E-9	31.4933E+3	98.2500E+0	40.6577E-9
98.3000E+0	-134.000E+0	33.9365E-9	31.2867E+3	98.3000E+0	40.7029E-9
98.3500E+0	-134.000E+0	33.9257E-9	31.5200E+3	98.3500E+0	40.6894E-9
98.4000E+0	-134.000E+0	33.8778E-9	33.2033E+3	98.4000E+0	40.6339E-9
98.4500E+0	-134.000E+0	33.8647E-9	31.0333E+3	98.4500E+0	40.6188E-9
98.5000E+0	-134.000E+0	33.8756E-9	32.6733E+3	98.5000E+0	40.6347E-9
98.5500E+0	-134.000E+0	33.8859E-9	30.7967E+3	98.5500E+0	40.6496E-9
98.6000E+0	-134.000E+0	33.8978E-9	32.9867E+3	98.6000E+0	40.6586E-9
98.6500E+0	-134.000E+0	33.8821E-9	33.6367E+3	98.6500E+0	40.6422E-9
98.7000E+0	-134.000E+0	33.9290E-9	32.5000E+3	98.7000E+0	40.6918E-9
98.7500E+0	-134.000E+0	33.9059E-9	31.1033E+3	98.7500E+0	40.6701E-9
98.8000E+0	-134.000E+0	33.9619E-9	31.7633E+3	98.8000E+0	40.7342E-9
98.8500E+0	-134.000E+0	33.9388E-9	31.7767E+3	98.8500E+0	40.7070E-9
98.9000E+0	-134.000E+0	33.9484E-9	30.2467E+3	98.9000E+0	40.7192E-9
98.9500E+0	-134.000E+0	33.9467E-9	29.9100E+3	98.9500E+0	40.7159E-9
99.0000E+0	-134.000E+0	33.9476E-9	32.1467E+3	99.0000E+0	40.7159E-9
99.0500E+0	-134.000E+0	33.9629E-9	31.3000E+3	99.0500E+0	40.7361E-9
99.1000E+0	-134.000E+0	33.9403E-9	31.1433E+3	99.1000E+0	40.7069E-9
99.1500E+0	-134.000E+0	33.9506E-9	31.4000E+3	99.1500E+0	40.7190E-9
99.2000E+0	-134.000E+0	33.9608E-9	34.1400E+3	99.2000E+0	40.7323E-9
99.2500E+0	-134.000E+0	33.9384E-9	31.3033E+3	99.2500E+0	40.7050E-9
99.3000E+0	-134.000E+0	33.8623E-9	31.8900E+3	99.3000E+0	40.6195E-9
99.3500E+0	-134.000E+0	33.9017E-9	31.3233E+3	99.3500E+0	40.6637E-9
99.4000E+0	-134.000E+0	33.9081E-9	31.6500E+3	99.4000E+0	40.6708E-9
99.4500E+0	-134.000E+0	33.9156E-9	30.4633E+3	99.4500E+0	40.6807E-9
99.5000E+0	-134.000E+0	33.9227E-9	30.5933E+3	99.5000E+0	40.6835E-9
99.5500E+0	-134.000E+0	33.9228E-9	31.5967E+3	99.5500E+0	40.6868E-9
99.6000E+0	-134.000E+0	33.9161E-9	31.0467E+3	99.6000E+0	40.6803E-9
99.6500E+0	-134.000E+0	33.8794E-9	31.1300E+3	99.6500E+0	40.6333E-9
99.7000E+0	-134.000E+0	33.8542E-9	31.6033E+3	99.7000E+0	40.6054E-9
99.7500E+0	-134.000E+0	33.7296E-9	30.5833E+3	99.7500E+0	40.4553E-9
