Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
119.300E+0	-132.000E+0	24.5588E-9	22.8667E+3	119.300E+0	29.5247E-9
119.250E+0	-132.000E+0	24.5881E-9	22.9000E+3	119.250E+0	29.5676E-9
119.200E+0	-132.000E+0	24.6407E-9	21.9433E+3	119.200E+0	29.6279E-9
119.150E+0	-132.000E+0	24.5652E-9	23.1000E+3	119.150E+0	29.5352E-9
119.100E+0	-132.000E+0	24.5531E-9	22.8867E+3	119.100E+0	29.5239E-9
119.050E+0	-132.000E+0	24.5916E-9	22.0767E+3	119.050E+0	29.5688E-9
119.000E+0	-132.000E+0	24.6245E-9	23.3100E+3	119.000E+0	29.6088E-9
118.950E+0	-132.000E+0	24.7469E-9	21.7633E+3	118.950E+0	29.7540E-9
118.900E+0	-132.000E+0	24.7735E-9	21.4667E+3	118.900E+0	29.7841E-9
118.850E+0	-132.000E+0	24.7677E-9	21.9167E+3	118.850E+0	29.7804E-9
118.800E+0	-132.000E+0	24.6564E-9	23.9533E+3	118.800E+0	29.6512E-9
118.750E+0	-132.000E+0	24.7610E-9	23.2600E+3	118.750E+0	29.7721E-9
118.700E+0	-132.000E+0	24.7720E-9	23.2533E+3	118.700E+0	29.7821E-9
118.650E+0	-132.000E+0	24.6492E-9	24.9733E+3	118.650E+0	29.6374E-9
118.600E+0	-132.000E+0	24.5933E-9	23.6067E+3	118.600E+0	29.5692E-9
118.550E+0	-132.000E+0	24.6237E-9	23.6433E+3	118.550E+0	29.6066E-9
118.500E+0	-132.000E+0	24.7726E-9	23.2833E+3	118.500E+0	29.7877E-9
118.450E+0	-132.000E+0	24.5997E-9	22.9900E+3	118.450E+0	29.5745E-9
118.400E+0	-132.000E+0	24.7354E-9	22.6767E+3	118.400E+0	29.7419E-9
118.350E+0	-132.000E+0	24.5962E-9	25.1233E+3	118.350E+0	29.5745E-9
118.300E+0	-132.000E+0	24.7728E-9	23.2733E+3	118.300E+0	29.7881E-9
118.250E+0	-132.000E+0	24.7441E-9	23.4033E+3	118.250E+0	29.7478E-9
118.200E+0	-132.000E+0	24.7646E-9	23.7967E+3	118.200E+0	29.7721E-9
118.150E+0	-132.000E+0	24.7800E-9	24.8300E+3	118.150E+0	29.7917E-9
118.100E+0	-132.000E+0	24.7948E-9	23.2400E+3	118.100E+0	29.8105E-9
118.050E+0	-132.000E+0	24.7618E-9	23.3667E+3	118.050E+0	29.7736E-9
118.000E+0	-132.000E+0	24.7585E-9	24.6000E+3	118.000E+0	29.7697E-9
117.950E+0	-132.000E+0	24.7966E-9	24.9000E+3	117.950E+0	29.8163E-9
117.900E+0	-132.000E+0	24.7861E-9	26.4133E+3	117.900E+0	29.7998E-9
117.850E+0	-132.000E+0	24.6751E-9	25.0700E+3	117.850E+0	29.6686E-9
117.800E+0	-132.000E+0	24.7811E-9	26.3300E+3	117.800E+0	29.7948E-9
117.750E+0	-132.000E+0	24.7508E-9	26.7333E+3	117.750E+0	29.7616E-9
117.700E+0	-132.000E+0	24.7478E-9	26.9300E+3	117.700E+0	29.7554E-9
117.650E+0	-132.000E+0	24.6852E-9	28.4233E+3	117.650E+0	29.6806E-9
117.600E+0	-132.000E+0	24.7543E-9	25.3200E+3	117.600E+0	29.7637E-9
117.550E+0	-132.000E+0	24.7226E-9	28.0667E+3	117.550E+0	29.7257E-9
117.500E+0	-132.000E+0	24.7673E-9	29.0733E+3	117.500E+0	29.7805E-9
117.450E+0	-132.000E+0	24.7290E-9	27.5567E+3	117.450E+0	29.7400E-9
117.400E+0	-132.000E+0	24.7693E-9	28.1733E+3	117.400E+0	29.7840E-9
117.350E+0	-132.000E+0	24.7174E-9	28.4800E+3	117.350E+0	29.7172E-9
117.300E+0	-132.000E+0	24.7938E-9	28.0067E+3	117.300E+0	29.8139E-9
117.250E+0	-132.000E+0	24.7908E-9	28.4533E+3	117.250E+0	29.8051E-9
117.200E+0	-132.000E+0	24.8117E-9	27.6667E+3	117.200E+0	29.8385E-9
