Experiment	Sweep	
Date	30.08.2022 14:26:10	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	Vtip=135, BWD, XYZ default	

[DATA]
BB Back Bias (V)	Timestamp (ms)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
111.900E+0	6.82372E+6	-135.000E+0	8.41057E-9	3.98000E+3	111.900E+0	9.08813E-9
111.800E+0	6.82411E+6	-135.000E+0	9.63897E-9	4.90000E+3	111.800E+0	10.4095E-9
111.700E+0	6.82452E+6	-135.000E+0	8.77277E-9	5.00500E+3	111.700E+0	9.47622E-9
111.600E+0	6.82490E+6	-135.000E+0	8.68578E-9	4.07500E+3	111.600E+0	9.38173E-9
111.500E+0	6.82532E+6	-135.000E+0	9.16117E-9	3.57500E+3	111.500E+0	9.89139E-9
111.400E+0	6.82570E+6	-135.000E+0	8.80901E-9	3.85000E+3	111.400E+0	9.51308E-9
111.300E+0	6.82610E+6	-135.000E+0	8.44903E-9	3.75000E+3	111.300E+0	9.12574E-9
111.200E+0	6.82651E+6	-135.000E+0	8.80520E-9	4.75500E+3	111.200E+0	9.50977E-9
111.100E+0	6.82692E+6	-135.000E+0	8.77533E-9	3.82000E+3	111.100E+0	9.47678E-9
111.000E+0	6.82731E+6	-135.000E+0	8.82054E-9	3.64000E+3	111.000E+0	9.52355E-9
110.900E+0	6.82772E+6	-135.000E+0	8.48680E-9	4.25000E+3	110.900E+0	9.16658E-9
110.800E+0	6.82812E+6	-135.000E+0	8.88136E-9	4.41000E+3	110.800E+0	9.59014E-9
110.700E+0	6.82850E+6	-135.000E+0	8.56803E-9	4.20500E+3	110.700E+0	9.25387E-9
110.600E+0	6.82891E+6	-135.000E+0	9.81985E-9	5.46500E+3	110.600E+0	10.6022E-9
110.500E+0	6.82934E+6	-135.000E+0	8.07165E-9	4.20500E+3	110.500E+0	8.72295E-9
