Experiment	Z spectroscopy	
Date	02.05.2018 17:07:33	
User		
X (m)	639.704E-9	
Y (m)	362.349E-9	
Z (m)	-59.122E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-50E-9	
Settling time (s)	250E-6	
Integration time (s)	1E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	Clam 38 eV	

[DATA]
Z rel (m)	Current (A)	Tip Current (A)	Pressure Lisa (V)	Channeltron (Hz)	CLAM  2 (Hz)	Bias (V)	Z (m)	Current [bwd] (A)	Tip Current [bwd] (A)	Pressure Lisa [bwd] (V)	Channeltron [bwd] (Hz)	CLAM  2 [bwd] (Hz)	Bias [bwd] (V)	Z [bwd] (m)
6.71343E-9	-197.989E-9	195.574E-9	3.31394E+0	47.5000E+3	3.70000E+3	-115.000E+0	-52.4086E-9	-203.241E-9	201.393E-9	3.31284E+0	50.9000E+3	4.70000E+3	-115.000E+0	-52.4086E-9
6.81363E-9	-197.975E-9	195.206E-9	3.31411E+0	47.8000E+3	5.00000E+3	-115.000E+0	-52.3084E-9	-202.826E-9	200.845E-9	3.31265E+0	45.7000E+3	4.20000E+3	-115.000E+0	-52.3084E-9
6.91383E-9	-197.660E-9	195.948E-9	3.31444E+0	45.0000E+3	4.70000E+3	-115.000E+0	-52.2082E-9	-202.993E-9	200.907E-9	3.31262E+0	46.5000E+3	4.40000E+3	-115.000E+0	-52.2082E-9
7.01403E-9	-197.118E-9	194.169E-9	3.31453E+0	42.3000E+3	5.00000E+3	-115.000E+0	-52.1080E-9	-201.948E-9	199.795E-9	3.31222E+0	49.8000E+3	4.50000E+3	-115.000E+0	-52.1080E-9
7.11423E-9	-196.551E-9	194.406E-9	3.31493E+0	48.4000E+3	5.40000E+3	-115.000E+0	-52.0078E-9	-201.417E-9	199.366E-9	3.31183E+0	46.3000E+3	4.60000E+3	-115.000E+0	-52.0078E-9
7.21443E-9	-196.353E-9	193.944E-9	3.31554E+0	46.0000E+3	4.60000E+3	-115.000E+0	-51.9076E-9	-200.937E-9	198.910E-9	3.31162E+0	52.6000E+3	4.30000E+3	-115.000E+0	-51.9076E-9
7.31463E-9	-196.056E-9	194.219E-9	3.31544E+0	46.1000E+3	4.40000E+3	-115.000E+0	-51.8074E-9	-200.734E-9	198.586E-9	3.31114E+0	47.5000E+3	3.10000E+3	-115.000E+0	-51.8074E-9
7.41483E-9	-195.520E-9	193.974E-9	3.31572E+0	42.8000E+3	4.70000E+3	-115.000E+0	-51.7072E-9	-200.494E-9	198.900E-9	3.31087E+0	48.3000E+3	3.70000E+3	-115.000E+0	-51.7072E-9
7.51503E-9	-195.224E-9	193.704E-9	3.31575E+0	43.6000E+3	4.30000E+3	-115.000E+0	-51.6070E-9	-199.853E-9	197.511E-9	3.31103E+0	51.5000E+3	3.20000E+3	-115.000E+0	-51.6070E-9
7.61523E-9	-194.770E-9	192.630E-9	3.31552E+0	47.5000E+3	3.90000E+3	-115.000E+0	-51.5068E-9	-199.917E-9	197.547E-9	3.31110E+0	50.5000E+3	4.70000E+3	-115.000E+0	-51.5068E-9
7.71543E-9	-194.535E-9	193.270E-9	3.31529E+0	42.7000E+3	4.80000E+3	-115.000E+0	-51.4066E-9	-199.134E-9	197.204E-9	3.31152E+0	46.7000E+3	3.00000E+3	-115.000E+0	-51.4066E-9
7.81563E-9	-193.813E-9	190.794E-9	3.31509E+0	47.7000E+3	3.90000E+3	-115.000E+0	-51.3064E-9	-199.536E-9	197.208E-9	3.31194E+0	44.0000E+3	4.10000E+3	-115.000E+0	-51.3064E-9
7.91583E-9	-193.706E-9	191.589E-9	3.31470E+0	43.9000E+3	4.80000E+3	-115.000E+0	-51.2062E-9	-199.003E-9	197.044E-9	3.31229E+0	44.9000E+3	4.90000E+3	-115.000E+0	-51.2062E-9
8.01603E-9	-193.159E-9	190.182E-9	3.31452E+0	48.8000E+3	3.90000E+3	-115.000E+0	-51.1060E-9	-197.518E-9	195.196E-9	3.31280E+0	48.0000E+3	4.80000E+3	-115.000E+0	-51.1060E-9
8.11623E-9	-192.915E-9	190.612E-9	3.31465E+0	43.9000E+3	2.90000E+3	-115.000E+0	-51.0058E-9	-197.412E-9	195.329E-9	3.31341E+0	47.8000E+3	3.80000E+3	-115.000E+0	-51.0058E-9
8.21643E-9	-192.233E-9	190.510E-9	3.31418E+0	47.7000E+3	4.00000E+3	-115.000E+0	-50.9056E-9	-196.465E-9	194.105E-9	3.31355E+0	44.7000E+3	3.80000E+3	-115.000E+0	-50.9056E-9
8.31663E-9	-191.799E-9	189.314E-9	3.31468E+0	45.8000E+3	4.90000E+3	-115.000E+0	-50.8054E-9	-196.218E-9	193.678E-9	3.31336E+0	48.2000E+3	4.80000E+3	-115.000E+0	-50.8054E-9
8.41683E-9	-191.301E-9	190.697E-9	3.31494E+0	45.4000E+3	4.80000E+3	-115.000E+0	-50.7052E-9	-195.950E-9	193.186E-9	3.31321E+0	47.6000E+3	5.00000E+3	-115.000E+0	-50.7052E-9
8.51703E-9	-190.489E-9	188.695E-9	3.31488E+0	44.7000E+3	3.80000E+3	-115.000E+0	-50.6049E-9	-195.825E-9	194.639E-9	3.31311E+0	46.8000E+3	4.40000E+3	-115.000E+0	-50.6049E-9
8.61723E-9	-189.877E-9	188.752E-9	3.31525E+0	46.0000E+3	5.10000E+3	-115.000E+0	-50.5047E-9	-196.326E-9	194.288E-9	3.31286E+0	49.5000E+3	3.40000E+3	-115.000E+0	-50.5047E-9
8.71743E-9	-189.821E-9	187.631E-9	3.31535E+0	39.7000E+3	4.50000E+3	-115.000E+0	-50.4045E-9	-196.445E-9	194.148E-9	3.31270E+0	47.0000E+3	5.10000E+3	-115.000E+0	-50.4045E-9
8.81764E-9	-189.195E-9	187.050E-9	3.31533E+0	49.3000E+3	3.70000E+3	-115.000E+0	-50.3043E-9	-195.509E-9	193.080E-9	3.31229E+0	46.5000E+3	5.90000E+3	-115.000E+0	-50.3043E-9
8.91784E-9	-189.409E-9	187.290E-9	3.31524E+0	49.7000E+3	4.50000E+3	-115.000E+0	-50.2041E-9	-195.171E-9	193.119E-9	3.31229E+0	47.5000E+3	4.10000E+3	-115.000E+0	-50.2041E-9
9.01804E-9	-188.613E-9	186.819E-9	3.31501E+0	43.6000E+3	3.80000E+3	-115.000E+0	-50.1039E-9	-194.987E-9	191.661E-9	3.31257E+0	46.1000E+3	2.90000E+3	-115.000E+0	-50.1039E-9
9.11824E-9	-187.567E-9	185.258E-9	3.31469E+0	44.6000E+3	3.30000E+3	-115.000E+0	-50.0037E-9	-193.939E-9	191.874E-9	3.31260E+0	46.8000E+3	3.30000E+3	-115.000E+0	-50.0037E-9
9.21844E-9	-187.258E-9	186.339E-9	3.31456E+0	46.9000E+3	4.30000E+3	-115.000E+0	-49.9035E-9	-194.095E-9	192.449E-9	3.31299E+0	44.0000E+3	5.10000E+3	-115.000E+0	-49.9035E-9
9.31864E-9	-186.551E-9	184.510E-9	3.31413E+0	46.1000E+3	3.90000E+3	-115.000E+0	-49.8033E-9	-194.355E-9	191.990E-9	3.31332E+0	45.5000E+3	4.10000E+3	-115.000E+0	-49.8033E-9
9.41884E-9	-186.040E-9	182.701E-9	3.31395E+0	43.8000E+3	4.40000E+3	-115.000E+0	-49.7031E-9	-193.219E-9	191.708E-9	3.31370E+0	46.1000E+3	3.60000E+3	-115.000E+0	-49.7031E-9
